feature,importance
dotw,0.07037239078871733
user_since,0.0684352493038269
created_hr,0.06752914638822433
num_user_mentions,0.050257687097608805
num_urls,0.027441010235363262
num_tags,0.018473309517487883
ing,0.012797808907526038
num_media,0.008492357510061378
one,0.007306188202123164
lov,0.006932391381239189
ill,0.006490498952891835
rea,0.006217845801762375
ess,0.006107881606595893
ste,0.005847548399954371
wan,0.005549310811532896
ent,0.005471363296431513
der,0.005350211153583866
kin,0.00534538035946355
and,0.00532042300754445
the,0.005290511683094546
est,0.005144421999997054
igh,0.0051163374332846715
mon,0.005060274826133687
sen,0.005041705648924862
hea,0.00503618883115624
eat,0.005004683228147579
ame,0.005004505701050469
che,0.004925322625841897
ter,0.0049117343464277225
mis,0.004886748064798796
min,0.004805068878773778
lly,0.0048041763081449985
pro,0.004689971322188758
ick,0.004643415104700838
ear,0.004633514079245291
let,0.004600505113999473
end,0.004580272540549912
vid,0.004483494108139764
ire,0.004479011631765953
our,0.00438244812912668
tin,0.00432702593660472
hill,0.0042599233465902605
ver,0.004218994517962974
ban,0.004216803414090592
lin,0.004174922404901881
ist,0.004162155362410519
ate,0.004116061327108419
real,0.004104014180642349
ave,0.004071442926343405
all,0.004018100145180484
tru,0.00400050960034665
ive,0.003886133715657667
ral,0.0038380396073181347
oun,0.003806118478114212
llo,0.0037873098094755113
oll,0.003783365273371856
den,0.003752921794206523
gro,0.00374336906374885
alwa,0.003740646676721192
gle,0.003738626835068537
app,0.003717984482692974
han,0.0036696004472136757
hap,0.0036664331826282265
fin,0.0036508678434822015
lle,0.0036396125989454375
esi,0.003638765876646831
ike,0.003632590556299843
nal,0.0036197429924387974
thi,0.0036144128694393105
ell,0.0036125075338641734
por,0.003607572663667643
spor,0.003557070761541345
era,0.003549828775162602
ble,0.0034743288081106978
sta,0.003470270493537972
ant,0.003434837826317227
for,0.0033980543567855544
nda,0.0033799619235102387
rum,0.003350308800344418
eet,0.003345742806552784
hil,0.0033255685745687096
ple,0.003314942987368761
olo,0.0032913437716658735
cha,0.0032859117118304625
new,0.00326539999184004
eer,0.003230818666271997
eel,0.003196896723149288
ime,0.003188372838916386
ong,0.003150213032020938
per,0.0031473139750204672
her,0.0031360353643976923
ful,0.003091716987065955
tte,0.003081194413062539
eti,0.0030807105490199436
rat,0.0030447500994621917
hoo,0.0030422980405658577
ank,0.0030148346528813936
day,0.0030024405694484024
eal,0.0029994373688404805
"('twitter', 'account')",0.002970747500844764
ssi,0.0029698623943871416
isVerified,0.0029619501036217974
lon,0.002961653863192235
oop,0.0029501379787163716
emo,0.002937561087441574
ber,0.0029280492857723162
ati,0.0029167475906735933
you,0.002895319374923451
"('wan', 'na')",0.002887052070316411
"('gon', 'na')",0.002870538443081286
car,0.0028551650530909425
ish,0.002853648030436666
isa,0.00282977912899538
port,0.0028121850090809175
twe,0.0028119301225469793
nst,0.0027981790084048224
way,0.002779950211208039
men,0.0027744909985797385
hel,0.0027711563770308413
ery,0.002770796516956015
ath,0.002769448031912166
ole,0.0027350299637660465
ain,0.0027216595089193793
wit,0.0027203953933966794
oli,0.0027101587062535364
ubl,0.0027072897977800776
con,0.002704982484816206
nit,0.002694099562063301
she,0.0026649427024831684
nio,0.0026374982455339108
erl,0.0026287467521053584
tch,0.0026103860700710858
iti,0.002569181014389265
hey,0.0025640453252015485
unt,0.0025369422054003494
ama,0.0025351741532799316
nat,0.002525019996246309
wee,0.0025202811695922275
nce,0.002515938423763983
ope,0.0025067251438690855
ron,0.002500939914353072
vin,0.0024843534073488447
ace,0.00248398880872371
ion,0.002478485859899374
ler,0.0024666176050601183
sho,0.0024618983635373015
lan,0.002439829174289947
"('left', 'dem')",0.0024143930451032574
ona,0.00237545812130844
pat,0.002374629056079814
far,0.0023685022942200296
tal,0.002363693369110032
set,0.002348794426934121
"('philly', 'sport')",0.0023475531574320896
tic,0.0023348891849696634
lte,0.0023147246775836136
sma,0.002311761068282068
enc,0.0023068424991222565
"('went', 'otrb')",0.002303022201098923
got,0.002300325012552484
ort,0.002268584363928129
rin,0.002219429253890126
"('look', 'like')",0.0022142525931428845
ast,0.0022044578786127966
red,0.002196528051606758
ret,0.002195847501666557
itch,0.0021753026369706416
sim,0.0021599539008467323
eri,0.002138736079510787
mag,0.002138466497299531
shi,0.002118230689534368
kil,0.0021156667955155107
itt,0.002108671207659535
tha,0.0020957986490522896
olog,0.002091077060571823
com,0.0020682746699024084
"('maga', 'kag')",0.002051534441337543
are,0.002050046926759745
tea,0.002039357222139718
rot,0.0020255449994561465
ther,0.0019814156168668513
cer,0.00197845238972025
hit,0.001977444832068855
ici,0.0019770452148811794
pit,0.0019758648590055233
ett,0.0019403138196940734
rit,0.001928043167969758
mer,0.0018596667266292607
orn,0.0018471581838463771
rie,0.0018447607844319452
sin,0.0018437964370975526
need,0.001830882890635072
ite,0.0018306986358745554
swi,0.0018102482072370001
want,0.0017880514394275353
orr,0.0017668775770794197
onal,0.001766078943724583
rst,0.0017496287786832481
ial,0.0017439688367307665
ile,0.0017271061743882189
rri,0.0017186791748155603
see,0.0016762829973532337
cat,0.0016732947956821342
elt,0.0016600921630743337
eve,0.001657988720557545
ner,0.0016454970071152503
hol,0.0016130413481189952
ook,0.001607499529535885
cou,0.001578320794467725
eam,0.0015762604213861407
ise,0.0015712020753918532
nde,0.0015408579911665942
rou,0.0015356188731471883
ove,0.00153477321334757
mar,0.0015335947973070096
ail,0.001512319566239239
sba,0.0014977681703260662
tra,0.0014392377971503834
sse,0.0014131377440187336
lis,0.0014103764729349205
ser,0.0013048336701587196
yle,0.0012334926467406624
att,0.0012327571804697443
sil,0.00122748501478365
mak,0.0011925189272175426
not,0.0011886346276709535
appy,0.0011863204368232863
agi,0.001148098442873163
hec,0.0011403842761359127
ert,0.0011359118667599655
emi,0.0010713595876401228
ale,0.0010626358960600223
ake,0.001057001697538183
ano,0.0010157825559934355
ans,0.0009303193234605275
eag,0.0008780320966858092
les,0.0008412553596430439
adv,0.0007973457910061781
"('official', 'twitter')",0.000794143938401771
pla,0.0007893052080722737
log,0.0007871456609808092
don,0.0007726036683405568
uni,0.000682571051201521
offi,0.0006815252128428045
cial,0.0006132001209281057
ica,0.0005287458487205134
oth,0.00045859897293188393
que,0.00041384162435630827
